Functional_Area,Function_Class
Accounts,ACCOUNTS/FINANCE
"Accounts,Audit,Taxation.Company Law,Project Report preparation etc.",ACCOUNTS/FINANCE
Administration,ADMINISTRATION
Administration and Front Office,ADMINISTRATION
Advertising,MARKETING
Airline,AIRLINES
Analyst,ANALYTICS/DATA
Application Programming-Dot Net,IT
Application Programming-Java,IT
Application Programming-Others,IT
Back Office,ADMINISTRATION
Banking,BANKING
Banking and Insurance,BANKING
BANKING OPERATION,BANKING
BPO,CUSTOMER SUPPORT/BPO
BPO Finance and Accounts,CUSTOMER SUPPORT/BPO
BPO Non Voice Support,CUSTOMER SUPPORT/BPO
BPO Quality,CUSTOMER SUPPORT/BPO
BPO Support,CUSTOMER SUPPORT/BPO
BPO Voice Support,CUSTOMER SUPPORT/BPO
"BPO, Costing, Planning",CUSTOMER SUPPORT/BPO
BRANCH BANKING,BANKING
BRANCH MANAGER,BANKING
Branch operational manager,OPERATIONS
BRANCH OPERATIONS,OPERATIONS
Brand Management,MARKETING
Business Development,SALES
business development manager,SALES
Business operations manager,OPERATIONS
CAPITAL MARKET OPERATIONS,OPERATIONS
Capital Market Research,RESEARCH AND DEVELOPMENT
Card Operations,BANKING
Channel Management,SALES
Collections,BANKING
Company Law Matters,LEGAL
Compliance Management,LEGAL
computer engineering,ENGINEERING
computer operator,IT
Construction,OTHERS
Content and Journalism,JOURNALISM
Corporate Finance,ACCOUNTS/FINANCE
"Corporate Finance, Analysis, Project Finance and Valuation",ACCOUNTS/FINANCE
Corporate Sales,SALES
counselor,OTHERS
Credit,BANKING
Credit and Policy,BANKING
Credit Audit and Risk,BANKING
customer relationship management,SALES
Customer Service,SALES
Data Manipulation,ANALYTICS/DATA
DataBase,ANALYTICS/DATA
Database Maintenance,ANALYTICS/DATA
Dealer,OPERATIONS
"Depository,Capital Market",ACCOUNTS/FINANCE
"Direct Taxation and Tax, Statutory & Internal Audits",ACCOUNTS/FINANCE
Documentation Verification,ADMINISTRATION
Education,EDUCATION
Electronics,ENGINEERING/TECHNOLOGY
Engineering,ENGINEERING/TECHNOLOGY
Engineering and Maintenance,ENGINEERING/TECHNOLOGY
ERP and CRM,ADMINISTRATION
ERP Implementation,ADMINISTRATION
Export and Import,ADMINISTRATION
Facilities Management,ADMINISTRATION
Fashion and Garments,OTHERS
field officer,SALES
Finance,ACCOUNTS/FINANCE
Finance Executive,ACCOUNTS/FINANCE
"Finance, Marketing",ACCOUNTS/FINANCE
"Finance, Taxation, Audit",ACCOUNTS/FINANCE
"Finance,Marketing",ACCOUNTS/FINANCE
Finance/Accounts/Taxation,ACCOUNTS/FINANCE
"Financial Analysis, Risk Management",ACCOUNTS/FINANCE
FINANCIAL INCLUSION,ACCOUNTS/FINANCE
"Financial Reporting,Banking",BANKING
Financial Services,ACCOUNTS/FINANCE
FMCG,OTHERS
FMCG SALES,SALES
Front Office,ADMINISTRATION
GENERAL INSURANCE,BANKING
Hardware,IT
Healthcare,OTHERS
Hospitality and Hotels,OTHERS
HR,HR
Human Resource,HR
Human Resource Mangt/ HRIS,HR
Infrastructure Management,OPERATIONS
Insurance,BANKING
INSURENCE,BANKING
INTERNAL AUDIT,BANKING
Internal Audits,BANKING
International Trade,BANKING
Investment Banking,BANKING
Investment Banking Advisory,BANKING
Investments,BANKING
IT,IT
IT-Admin/Networking/DBA,IT
ITES/BPO/Customer Service,CUSTOMER SUPPORT/BPO
IT-Hardware and Networking,IT
IT-Software,IT
IT-Telecom and ISP,IT
LECTURER,EDUCATION
Legal,LEGAL
Legal and Law,LEGAL
Legal/Law,LEGAL
"LIASIONING, IMPORT-EXPORT,LC, BC",OPERATIONS
Maintaince and Techniations,OPERATIONS
Maketing and Communications,MARKETING
Management Consulting,CONSULTING
"Management, Consulating and IT",IT
Marketing,MARKETING
"Marketing, Telesales Executive",MARKETING
Medical/Healthcare/Bio-Tech,OTHERS
