PGSpec,PGSpec_Class
2D & 3D ANIMATION,SCIENCE
ACCOUNTANCY,ACCOUNTS
ACCOUNTS,ACCOUNTS
ACTURIAL SCIENCE,SCIENCE
ADMINISTRATION,OTHERS
AGRI-BUSS MNGT,MANAGEMENT
AGRICULTURE,OTHERS
AGRONOMICS,OTHERS
ALLIED HEALTH SCIENCE,SCIENCE
ANCIENT & MEDIEVAL HISTORY,OTHERS
ARTS,OTHERS
AUDIT,UNKNOWN
AVIONICS,ENGINEERING
BACHULOR OF BUSINESS ADMIN LLB,OTHERS
BANKING,BANKING
BIO INFORMATICS,IT
BIOLOGY,SCIENCE
BIOTECHNOLOGY,SCIENCE
BOTANY,SCIENCE
BUSINESS ECONOMICS,OPERATIONS
BUSINESS INFOrmation TECH,IT
BUSINESS STUDIES,MANAGEMENT
CA - GROUP I,COMMERCE
CHEMISTRY,SCIENCE
CIVIL,OTHERS
COM.SYSTEM,COMMERCE
COMMERCE,COMMERCE
COMMUNICATION,OTHERS
COMPANY SECRETARY,OTHERS
COMPUTER ACCOUNTANT,IT
COMPUTER APPLICATION,IT
COMPUTER SCIENCE,IT
COMPUTER SOFTWARE MGMT,IT
COMPUTERS,IT
COMPUTERS & ENGINEERING,IT
COMPUTING,IT
CORPORATE LAW,OTHERS
COSTING,COMMERCE
DEFENCE STUDIES,OTHERS
DESIGN,UNKNOWN
ECO AND ACCS,ACCOUNTS
ECONOMICS,SCIENCE
ECONOMICS AND STATISTICS,SCIENCE
Electrical,ENGINEERING
ELECTRONICS,ENGINEERING
Electronics & Communication,ENGINEERING
Electronics & Electricals,ENGINEERING
ENERGY,SCIENCE
ENG LIT & PSYCHOLOGY,PSYCHOLOGY
Engg. Technology & Finance,ENGINEERING
ENGLISH,OTHERS
Environment,OTHERS
EXPORT,UNKNOWN
F&B SERVICES,FINANCE
FINANCE,FINANCE
FINancia RISK Management,FINANCE
FINANCIAL PLANNING,FINANCE
FISHERY SCIENCE,SCIENCE
FOREIGN TRADE,UNKNOWN
FORENSIC SCIENCE,SCIENCE
FORESTRY,SCIENCE
GENERAL,UNKNOWN
GEOGRAPHY,OTHERS
GEOINFORMATICS,IT
HARDWARE,IT
HINDI,UNKNOWN
HISTORY,UNKNOWN
HR & MARKETING,MANAGEMENT
HUMAN GENETICS,SCIENCE
Human Resource Development,MANAGEMENT
Human Resources,MANAGEMENT
HUMAN RIGHTS,OTHERS
INETRNATIONAL BUSINESS,MANAGEMENT
INFORMATICS,IT
INFORMATION SCIENCE & ENGG.,IT
Information Systems,IT
INFORMATION TECHNOLOGY,IT
INSURANCE,FINANCE
INTERNATIONAL BUSINESS,MANAGEMENT
INTERNATIONAL TRADE,OTHERS
JOURNALISM,OTHERS
LAW,OTHERS
LEGAL,OTHERS
LITERATURE,OTHERS
LOGISTICS,OPERATIONS
MANAGEMENT,MANAGEMENT
MANAGEMENT ACCOUNTS,ACCOUNTS
MANUFACTURING SCIENCE,SCIENCE
MARINE BIOLOGY,SCIENCE
Marketing,MANAGEMENT
Marketing & IT,MANAGEMENT
MARKETING & SYSTEMS,MANAGEMENT
MARKETING AND  HRD,MANAGEMENT
MARKETING AND FINANCE,MANAGEMENT
MARKETING INFORMATION SYSTEMS,MANAGEMENT
MASS COMMUNICATION,OTHERS
MATHEMATICAL-ECONOMICS,SCIENCE
MATHEMATICS,SCIENCE
Mechanical,ENGINEERING
MINERAL PROCESSING,SCIENCE
OPERATIONAL RESEARCH,OPERATIONS
Operations,OPERATIONS
Others,OTHERS
PHILOSOPHY,OTHERS
PHYSICAL SCIENCE,SCIENCE
PHYSICS,SCIENCE
POLITICAL SCIENCE,OTHERS
PUBLIC ADMINISTRATION,OTHERS
RETAILING & TRADE,OTHERS
RURAL MANAGEMENT,MANAGEMENT
SALES,SALES
SCIENCE,SCIENCE
SERVICES,OTHERS
SOCIAL SCIENCE,OTHERS
SOCIAL WORK,OTHERS
SOCIOLOGY,OTHERS
SOFTWARE,IT
STATISTICS,SCIENCE
SYSTEMS,UNKNOWN
TAXATION,COMMERCE
TECHNOLOGY,OTHERS
TELECOM,OTHERS
TOURISM,OTHERS
