PGIns2 / PGUni2,PGIns_Class
 Select ,UNKNOWN
? LOYOLA HIGH SCHOOL,TIER_2
A P S UNIVERSITY,UNKNOWN
"ABUL KALAM AZAD UNI OF TEC, WB",UNKNOWN
AC Anna Univ - Chennai,TIER_3
ACADEMIC CREDENTIALS,UNKNOWN
ACADEMIC PROFILE,UNKNOWN
ACADEMIC QUALIFICATION,UNKNOWN
"ACADEMY  OF MGT STUDIES, MUM",UNKNOWN
ACAMS,UNKNOWN
ACCURATE INST OF MGT AND TECH,UNKNOWN
ACHARYA N G RANGA AGRI UNI,UNKNOWN
"ACHARYA NAGARJUNA UNI, GUNTUR",UNKNOWN
ACHARYA NAGARJUNA UNIVERSITY,UNKNOWN
ACTIVE MEMBER OF THE SCHOOL,UNKNOWN
ADARSH BAL MANDIR SENIOR SECONDARY SCHOOL,UNKNOWN
ADARSH HIGHSCHOOL,UNKNOWN
adsf,UNKNOWN
ADVANCED  INST OF ENGIN & MGT,UNKNOWN
AGRA UNIVERSITY,UNKNOWN
AICTE,UNKNOWN
aicte itm busess school,TIER_3
AIMA CENTRE FOR MGT EDUCATION,UNKNOWN
AJMER UNIVERSITY,UNKNOWN
ALAGAPPA COLLEGE OF TECHNOLOGY,UNKNOWN
ALAGAPPA UNIVERSITY,UNKNOWN
ALBERT LYUDVIGS UNIVERSITY,UNKNOWN
ALIGARH MUSLIM UNIVERSITY,TIER_3
ALL INDIA INST OF BUS MGMT,UNKNOWN
ALL INDIA INST OF MGMT STUD,UNKNOWN
ALL INDIA INSTITUTE OF TECHNOL,UNKNOWN
ALLAHABAD AGRI INST-DEEMED UNI,UNKNOWN
ALLAHABAD UNIVERSITY,UNKNOWN
AMARDEEP HIGH SCHOOL,UNKNOWN
AMITY BUSINESS SCHOOL,UNKNOWN
Amity University,UNKNOWN
AMRAVATI UNIVERSITY,UNKNOWN
AMRITA UNIVERSITY,TIER_3
ANAND AGRICULTURE UNIVERSITY,UNKNOWN
ANDHRA UNIVERSITY,UNKNOWN
ANNA UNIVERSITY,TIER_3
ANNAMALAI UNIVERSITY,UNKNOWN
ANNIE BESANT COLLEGE,UNKNOWN
"APEEJAY INST MGMT & IT, DELHI",TIER_3
"Apeejay Int of Mgmt,Jallandhar",TIER_3
APEEJAY SCHOOL,TIER_3
APEEJAY SCHOOL OF MGT,TIER_3
"ASIA PAC INST OF MGMT, DELHI",TIER_3
"ASIAN SCH OF BUSI MGT, ODISHA",UNKNOWN
ASIAN SCHOOL OF BUSINESS MGT,UNKNOWN
ASSAM DON BOSCO UNIVERSITY,UNKNOWN
ASSAM DOWN TOWN UNIVERSITY,UNKNOWN
"ASSAM INST OF MGMT, GUWAHATI",TIER_3
"ASSAM UNIV, SILCHAR",TIER_3
ASU,TIER_3
ATHARVA SCHOOL OF BUSS,TIER_3
AWADESH PRATAP SINGH UNI,UNKNOWN
AWADHESH PRATAP SINGH UNIVERSI,UNKNOWN
B COM,UNKNOWN
B COMMARTHOMA COLLEGE,UNKNOWN
B R AMBEDKAR BIHAR UNIVERSITY,UNKNOWN
BA,UNKNOWN
BA MBA OTHER CAMPUS,UNKNOWN
BABASAHEB BHIMRAO AMBEDKAR UNI,UNKNOWN
BALAJI INS OF TELE & MNGT-PUNE,TIER_2
BALAJI INST OF MGT HR DEV,TIER_2
BANARAS HINDU UNIV,TIER_3
BANASTHALI VIDYAPEETH,TIER_3
BANGALORE UNIVERSITY,TIER_3
BANKING COLLEGE,UNKNOWN
bareilly college,UNKNOWN
BCOM,UNKNOWN
BCOM –,UNKNOWN
"BENGAL ENGG COLL, HOWRAH",TIER_3
BERHAMPUR UNIVERSITY,UNKNOWN
BHARATH UNIVERSITY,UNKNOWN
BHARATHIAR UNIVERSITY,TIER_3
BHARATHIDASAN UNIVERSITY,TIER_2
BHARATI VIDYAPEETH BVIMSR,TIER_3
"BHARATI VIDYAPEETH INST,DELHI",TIER_3
"BHARATI VIDYAPEETH UNI, PUNE",TIER_3
BHARATI VIDYAPEETH UNIVERSITY,TIER_3
BHARATIYA VIDYA BHAVAN,UNKNOWN
"BHARATIYA VIDYA BHAVAN, MUMBAI",UNKNOWN
"Bharti Vidyapeeth Mgmt, Pune",TIER_3
"Bharti Vidyapeeth, Mumbai",TIER_3
BHAVNAGAR UNIVERSITY,UNKNOWN
BHOPAL UNIVERSITY,UNKNOWN
"BIFT, Hyderabad",UNKNOWN
BIHAR UNIVERSITY,UNKNOWN
BIJU PATNAIK UNI OF TECH,UNKNOWN
BIJU PATTNAIK UNI OF TECH,UNKNOWN
Biju Pattnaik University Of Technology,UNKNOWN
BIKANER UNIVERSTY,UNKNOWN
"BIMTECH, Noida",TIER_3
"BIRLA INS OF TECH(BIT), MESRA",UNKNOWN
BIT Mesra,UNKNOWN
BSCMBA,UNKNOWN
BUNDELKHAND UNIVERSITY,UNKNOWN
BURDWAN UNIVERSITY,UNKNOWN
C M J UNIVERSITY,UNKNOWN
C.M.J UNIVERSITY,UNKNOWN
CA Rank Holder,TIER_1
Calcutta  University,UNKNOWN
CALCUTTA UNIVERSITY,UNKNOWN
CAPTA OF SCHOOL,UNKNOWN
CCS UNIVERSITY - MEERUT,UNKNOWN
CENTRAL UNI OF JAMMU,TIER_3
CENTRE FOR DEVELOP OF ADV COMP,UNKNOWN
CENTURION UNIV OF TECH & MGMT,UNKNOWN
CH CHARAN SINGH UNIVERSITY,UNKNOWN
CH SHAHUJI MAHARAJ UNIVERSITY,UNKNOWN
CH SWAMI VIVEKANAND TECH UNIV,UNKNOWN
CHAUDHARY DEVI LAL UNIVERSITY,UNKNOWN
