Previous Designation,Prev_Desig_Class
  Select ,UNKNOWN
"  Select ,ASSISTANT",UNKNOWN
 &lt;--None--&gt;,UNKNOWN
" ,",UNKNOWN
" ,,",UNKNOWN
" ,,,",UNKNOWN
" -,-,-,-",UNKNOWN
" ,,,,",UNKNOWN
" ,,,,,",UNKNOWN
" ,,,,,,",UNKNOWN
" ,,ACCOUNTS OFFICER,BUSINESS DEVELOPMENT MANAGER",SALES MANAGER
" ,,DEPUTY MANAGER",DEPUTY MANAGER
" ,,DEPUTY MANAGER,RELATIONSHIP MANAGER,RELATIONSHIP MANAGER",RELATIONSHIP MANAGER
" ,,SALES OFFICER - CASA,SALES MANAGER,OPERATIONS MANAGER",OPERATIONS MANAGER
" ,ACCOUNTS OFFICER,ACCOUNTS OFFICER,CSO - TELLER,DEPUTY MANAGER",DEPUTY MANAGER
" ,ADMIN MANAGER,ADMIN MANAGER,BRANCH MANAGER",BRANCH MANAGER
" ,BRANCH MANAGER",BRANCH MANAGER
" ,EXECUTIVE,DEPUTY MANAGER",DEPUTY MANAGER
" ,MANAGER",MANAGER
" -,MANAGER",MANAGER
" ,SALES OFFICER - CASA",SALES OFFICER
" ,SENIOR OFFICER,MANAGER,ASSISTANT MANAGER",MANAGER
" ,TRAINEE,MANAGEMENT TRAINEE,ASSISTANT MANAGER,DEPUTY MANAGER,DEPUTY MANAGER,DEPUTY MANAGER,ANALYST",DEPUTY MANAGER
 ABM,DEPUTY BRANCH MANAGER
 ACCOUNT RELATIONSHIP MANAGER,RELATIONSHIP MANAGER
" ACCOUNT RELATIONSHIP MANAGER,ACCOUNT RELATIONSHIP MANAGER,BRANCH OPERATION MANAGER - IBG,operation  head",OPERATIONS MANAGER
" ACCOUNT RELATIONSHIP MANAGER,ACCOUNTS MANAGER",RELATIONSHIP MANAGER
" ACCOUNT RELATIONSHIP MANAGER,ASSOCIATE",RELATIONSHIP MANAGER
" ACCOUNT RELATIONSHIP MANAGER,PROCESS HEAD",RELATIONSHIP MANAGER
 ACCOUNTS MANAGER,ACCOUNTS MANAGER
" ACCOUNTS MANAGER,ACCOUNTS MANAGER",ACCOUNTS MANAGER
" ACCOUNTS MANAGER,ASSISTANT,ACCOUNTS MANAGER",ACCOUNTS MANAGER
" ACCOUNTS MANAGER,AUDIT MANAGER",ACCOUNTS MANAGER
" ACCOUNTS MANAGER,BRANCH HEAD",BRANCH MANAGER
" ACCOUNTS MANAGER,BRANCH MANAGER",BRANCH MANAGER
" ACCOUNTS MANAGER,MANAGER,DEPUTY MANAGER,DEPUTY MANAGER",DEPUTY MANAGER
" ACCOUNTS MANAGER,RELATIONSHIP MANAGER",RELATIONSHIP MANAGER
 ACCOUNTS OFFICER,ACCOUNTS OFFICER
" ACCOUNTS OFFICER,ACCOUNTS MANAGER",ACCOUNTS MANAGER
" ACCOUNTS OFFICER,ACCOUNTS OFFICER",ACCOUNTS OFFICER
" ACCOUNTS OFFICER,ACCOUNTS OFFICER,ACCOUNTS MANAGER",ACCOUNTS MANAGER
