Previous Employer,Prev_Empl_Class
0,UNKNOWN
1,UNKNOWN
2,UNKNOWN
5,UNKNOWN
 -,UNKNOWN
 (Dept.) Axis Bank Ltd Raikot Branch (Ludhiana) (De,BANKING/BFSI
" (GOLD BUSINESS PERSONAL) Chinnabazar Branch Nellor,Accounts. Zonal Nellore.. years,(GOLD) Buchhireddy Palem Branch Nellore.,Spandana sphoorty financial limited,NELLORE Incharge (GOLD DIVISON) NELLORE Nellore.,Shriram city union finance Ltd",BANKING/BFSI
" (ICICI Pru.) CONSIDER,(Bajaj Allianz) ON ROLL,Birla sun Life INSURANCE asSpoke Churu (Rajasthan),(ICICI Pru.) ON ROLL,ICICI Pru.,sidhnath) asSidhmukh",BANKING/BFSI
" (Marketing  Finance) KIITS Deemed University.,centuri bank punjab, kolkata,Axis Bank Ltd,Religare Macquarie Wealth Management,Designation,fas,HDFC Bank Ltd,certificatis",BANKING/BFSI
" (Operations) Retail Banking.,TATA MOTORS, BHILAI",UNKNOWN
" (Teller) Yes Bank Ltd,(Teller) Hdfc Bank Ltd,YES BANK LTD,ADFC PVT LTD SUBSIDERY OF HDFC BANK LTD",BANKING/BFSI
" (years) Patna India,(months) Patna India,(months) Patna India,Bandhan Bank Ltd",BANKING/BFSI
" ,M/s D. Dhandaria  Co",NON BANKING
 . YouFirst Money Express Pvt Ltd,NON BANKING
" ? 6months,? months,Thomas Cook (India) Ltd",NON BANKING
" ? HDFC BANK LTD,PBA TA,? BAJAJ ALLIANZ LIFE INSURANCE CO. LTD,? HDFC BANK LTD",BANKING/BFSI
" ? IndusInd Bank ltd,? Bajaj Allianz Staffing Solution Ltd",BANKING/BFSI
" ? Kotak Securities Ltdas,Religare Securities Ltd,?Working India bulls Securities Services Ltdas",NBFC
" ? VENTURA SECURITIES LTD,BMA WEALTH CREATORS LTD,? ITI Financial Service Ltd,LKP Securities Ltd",BANKING/BFSI
 ? Working as Axis Bank (for3yr,BANKING/BFSI
" ?   Duration,STAR UNION DAICHI,FINO NATIONAL PAYTECH BANK AS ,hdfc life,sud life",BANKING/BFSI
" ??IndusInd Bank, Aurangabad.. (cont),IndusInd Bank, Aurangabad (cont),Axis Bank Ltd,? Deutsche Bank, Aurangabad (pr),??HDFC Bank Ltd,Axis Bank Ltd.",BANKING/BFSI
" —1.,AXIS BANK LTD,HDFC Bank Ltd.,Gap (Year (s) (s)),Indusind Bank",BANKING/BFSI
 123 Stores Pvt Ltd,NON BANKING
" 2010ICICI Prudential life Insurance Co. Ltd,Bancassarance of Axis Bank Ltd,DateIndusind Bank Ltd",BANKING/BFSI
" 2Coms Consulting Pvt. Ltd,Indiabulls securities limited,Hdfc Bank limited",BANKING/BFSI
