QName1,QName1_Class
AME-FT,ENGINEERING
B.B.A,MANAGEMENT
B.B.M,MANAGEMENT
B.IT,IT
B.L,LITERATURE
B.PED,OTHER
B.Pharm,OTHER
B.Stat,SCIENCE
B.Tech,ENGINEERING
BACAPM,UNKNOWN
BACHELOR,UNKNOWN
BACHELOR I,UNKNOWN
BACHELOR O,UNKNOWN
BACHELOR OF ART IN CORPORATE SECRETARYSHIP,OTHER
Bachelor of Arts,ARTS
BACHELOR OF BUS. STUDIES-Full Time,MANAGEMENT
Bachelor of Business Admin,MANAGEMENT
BACHELOR OF CORPORATE SECRETARYSHIP-FULL TIME,OTHER
Bachelor of Engineering,ENGINEERING
BACHELOR OF INFORMATION & MGMT-FULL TIME,IT
Bachelor of Science,SCIENCE
BA-FT,ARTS
BAL,OTHER
BALLB-F,OTHER
BARCH,ENGINEERING
BASC,SCIENCE
BBA,MANAGEMENT
BBE-FT,MANAGEMENT
BBM-FT,MANAGEMENT
BBMGT-FT,MANAGEMENT
BBS,MANAGEMENT
BCA-FT,IT
BCAM,MANAGEMENT
BCE,ENGINEERING
BCOM,COMMERCE
BCS,IT
BDIT,IT
BDS,SCIENCE
BE,ENGINEERING
BEBTECH-PT,OTHER
BEC,UNKNOWN
BED-FT,OTHER
BELS,OTHER
BESC,UNKNOWN
BFS,OTHER
BHM,OTHER
BHMCT,OTHER
BHMCT-FT,OTHER
BHMS-FT,SCIENCE
BHSC,OTHER
BHTM,OTHER
BIMM,UNKNOWN
BIMS,SCIENCE
BISC,UNKNOWN
BIT,IT
BIT&CA,UNKNOWN
BITM,UNKNOWN
BJMC,OTHER
BLS,OTHER
BMCA,OTHER
BMLT,OTHER
BMM,OTHER
BMS,MANAGEMENT
BMSC,SCIENCE
BMS-FT,MANAGEMENT
BOCM,UNKNOWN
BOM,UNKNOWN
BPE,OTHER
BPHARM,OTHER
BPHARM-FT,OTHER
BRS,OTHER
BS,SCIENCE
BSC&BED-FT,SCIENCE
BSCAGAH,SCIENCE
BSCAS,SCIENCE
BSC-FT,SCIENCE
BSCIT-FT,SCIENCE
BSCMIT,SCIENCE
BSM,MANAGEMENT
BSS,DIPLOMA
BTECH-F,ENGINEERING
BTEXT,OTHER
BTS,OTHER
BVSC&AH,SCIENCE
DAE,DIPLOMA
DBM,DIPLOMA
DCA,DIPLOMA
DCAOM,DIPLOMA
DECE,DIPLOMA
DETE,DIPLOMA
DIAME-FT,DIPLOMA
DIEECE-FT,DIPLOMA
DIME-FT,DIPLOMA
DIPLOMA IN,DIPLOMA
GDCA-FT,DIPLOMA
Graduation in any discipline,UNKNOWN
LLB-FT,OTHER
MBASER-F,UNKNOWN
Other,OTHER
