Variable_name,Category,New_category
Gender,Female,Female
Gender,Male,Male
Gender,Unknown,Unknown
Marital_Status,Married,Married
Marital_Status,Single,Single
Marital_Status,Undisclosed,Undisclosed
QName1_Class,ARTS,ARTS
QName1_Class,COMMERCE,COMMERCE
QName1_Class,DIPLOMA,Low_pop_perc
QName1_Class,ENGINEERING,ENGINEERING
QName1_Class,IT,Low_pop_perc
QName1_Class,LITERATURE,Low_pop_perc
QName1_Class,MANAGEMENT,Low_pop_perc
QName1_Class,NO_INFO,NO_INFO
QName1_Class,OTHER,Low_pop_perc
QName1_Class,SCIENCE,SCIENCE
QName1_Class,UNKNOWN,Low_pop_perc
QType1,Distance,Low_pop_perc
QType1,Full Time,Full Time
QType1,Part Time,Low_pop_perc
QType1,Unknown,Unknown
PGName2_Class,ARTS,Low_pop_perc
PGName2_Class,COMMERCE,Low_pop_perc
PGName2_Class,ENGINEERING,Low_pop_perc
PGName2_Class,IT,Low_pop_perc
PGName2_Class,MANAGEMENT,Low_pop_perc
PGName2_Class,MBA,MBA
PGName2_Class,NO_INFO,NO_INFO
PGName2_Class,NOT APPLICABLE,Low_pop_perc
PGName2_Class,OTHERS,Low_pop_perc
PGName2_Class,SCIENCE,Low_pop_perc
PGName2_Class,UNKNOWN,UNKNOWN
PGSpec_Class,ACCOUNTS,Low_pop_perc
PGSpec_Class,BANKING,Low_pop_perc
PGSpec_Class,COMMERCE,Low_pop_perc
PGSpec_Class,ENGINEERING,Low_pop_perc
PGSpec_Class,FINANCE,FINANCE
PGSpec_Class,IT,Low_pop_perc
PGSpec_Class,MANAGEMENT,MANAGEMENT
PGSpec_Class,NO_INFO,NO_INFO
PGSpec_Class,OPERATIONS,Low_pop_perc
PGSpec_Class,OTHERS,Low_pop_perc
PGSpec_Class,PSYCHOLOGY,Low_pop_perc
PGSpec_Class,SALES,Low_pop_perc
PGSpec_Class,SCIENCE,Low_pop_perc
PGSpec_Class,UNKNOWN,Low_pop_perc
PGIns_Class,NO_INFO,NO_INFO
PGIns_Class,TIER_1,Low_pop_perc
PGIns_Class,TIER_2,Low_pop_perc
PGIns_Class,TIER_3,TIER_3
PGIns_Class,UNKNOWN,UNKNOWN
Prev_Empl_Class,BANKING/BFSI,BANKING/BFSI
